video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
e6zSlQHm-q0,Citadelle des Morts Cinematic | Call of Duty: Black Ops 6 Zombies,Citadelle des Morts Cinematic | Call of Duty: Black Ops 6 Zombies,2024-11-26T16:00:27Z,UC9YydG57epLqxA9cTzZXSeQ,Call of Duty,20,"['call of duty', 'cod', 'activision', 'Citadelle des Morts', 'black ops 6', 'cod black ops 6', 'call of duty black ops 6', 'zombies', 'black ops 6 zombies', 'black ops 6 zombies maps', 'Citadelle des Morts Cinematic']",PT1M55S,hd,false,685332,34188,0,0,2292
ytrtFsXRXGY,Watching a Rocket Launch at SpaceX with Elon Musk!,Watching a Rocket Launch at SpaceX with Elon Musk!,2024-11-26T18:03:29Z,UCytKJrAI_PsPfoi04D1E2oQ,Kai Trump,22,"['Watching a Rocket Launch at SpaceX with Elon Musk!', 'kai trump', 'donald trump', 'eric trump', 'donald trump jr', 'barron trump', 'trump', 'election day vlog', 'vlogs', 'kai trump vlogs', 'elon musk', 'Kai Trump Election Night Vlog', 'a regular day in the life of kai trump', 'day in the life', 'election night', '2024 election', 'presidential election', 'mara lago', 'spacex flight test 6', 'starship', 'spacex startship flight', 'rocket launch', 'elon musk and donald trump']",PT11M40S,hd,false,2697514,108232,0,0,7517
-5jIueKioAI,Family Island: 𝐖𝐢𝐥𝐝 𝐁𝐥𝐚𝐜𝐤 𝐅𝐫𝐢𝐝𝐚𝐲 𝐒𝐮𝐫𝐩𝐫𝐢𝐬𝐞𝐬! 🖤🖤🖤,Family Island: 𝐖𝐢𝐥𝐝 𝐁𝐥𝐚𝐜𝐤 𝐅𝐫𝐢𝐝𝐚𝐲 𝐒𝐮𝐫𝐩𝐫𝐢𝐬𝐞𝐬! 🖤🖤🖤,2024-11-27T15:00:00Z,UCxm8jnD1rYrT4271Qr3_44w,Family Island Game,20,"['family island game', 'family island gameplay', 'family island farm game', 'how to play family island', 'island game', 'family island', 'family island tips', 'farm games', 'island family', 'games for android', 'games for ios', 'mobile games', 'family island treasure island', 'islander', 'treasure island', 'gameplay walkthrough', 'new mobile games', 'game mobile', 'tips and tricks', 'funny game', 'adventure game', 'family game', 'walkthrough', 'Pink Bag']",PT17S,hd,false,98162,4097,0,0,2370
1v59Osj9usk,Can I Beat Grant Horvat If He Starts 5 Under Par? (Part 2),Can I Beat Grant Horvat If He Starts 5 Under Par? (Part 2),2024-11-26T16:59:37Z,UC3jFoA7_6BTV90hsRSVHoaw,Phil Mickelson and the HyFlyers,17,"['Masters', 'Phil Mickelson', 'LIV', 'LIV Golf']",PT54M33S,hd,false,564382,51446,0,0,6912
d7UtVAQ2bJA,"I Tested 100 ""Free Robux"" Games","I Tested 100 ""Free Robux"" Games",2024-11-27T03:55:31Z,UCn4RkjqDN4UE0Uy3y1-K6_w,Laughability,20,"['roblox laughability', 'roblox', 'laughability', 'laugh ability', 'laugh ability roblox', 'laughability youtube', 'roblox youtube', 'roblox challenge', 'laughability challenge', 'free robux', 'how to make robux', 'make robux on roblox', 'free robux games', 'free robux games 2024', 'challenge', '100 games', 'gaming', 'free robux glitch', 'robux glitch 2024', 'robux site', 'robux stream', 'donation games', 'robux methods']",PT32M33S,hd,false,341550,13233,0,0,2199
TwWk0dgo5A4,I turned FORTNITE into LEGO...,I turned FORTNITE into LEGO...,2024-11-26T17:48:56Z,UCUU3GdGuQshZFRGnxAPBf_w,TD BRICKS,24,"['lego', 'legos', 'lego set', 'lego fortnite', 'fortnite', 'fortnite lego', 'lego movie', 'lego city', 'lego minifigure', 'lego builder', 'lego meme']",PT8M31S,hd,false,944595,20606,0,0,2658
ne2IaBPxGUE,Kevin Gates - Be Somebody (Official Music Video),Kevin Gates - Be Somebody (Official Music Video),2024-11-26T08:00:40Z,UCj2GTFekdV3EUsTVN8oaEqA,kevingatesTV,10,"['kevin gates', 'kevin', 'gates', 'atlantic', 'atlantic records', 'how we livin', '2 phones', 'by any means 2', 'BWA', 'BreadWinnersAssociation', 'OfficialBWA', 'Kevin Gates Only The Generals Gon Understand II', 'Only The Generals Gon Understand II', 'Kevin Gates mixtape', 'Kevin Gates Only The Generals Gon Understand II mixtape', 'Only The Generals Gon Understand II mixtape', 'Only The Generals Gon Understand', 'Only The Generals Gone Understand', 'Kevin Gates Puerto Rico', 'Puerto Rico', 'Kevin Gates Puerto Rican']",PT3M4S,hd,false,546598,35089,0,0,2529
Bw8ZdQpVtdU,Dexter: Original Sin | Official Trailer | Paramount+ With SHOWTIME,Dexter: Original Sin | Official Trailer | Paramount+ With SHOWTIME,2024-11-26T22:37:17Z,UC4_hHPcj6BTsn1-gn9oeCDg,Dexter on Paramount+ with Showtime,22,"['Dexter episodes', 'Dexter full episodes', 'serial killer', 'serial killer show', 'Dexter showtime', 'Dexter: Original Sin', 'michael c. hall', 'debra morgan', 'Dexter Deb', 'Dexter premiere', 'murder mystery', 'thriller', 'Dexter tv show', 'best of Dexter', 'Dexter highlights', 'Dexter clips', 'Dexter dark passenger', 'Miami homicide', 'Kurt Caldwell Dexter: New Blood', 'Dexter New York', 'Dexter: New Blood Harrison Morgan', ""Dexter's son"", 'Harrison Morgan Dexter', 'dexter new blood full episode', 'dexter: new blood']",PT1M57S,hd,false,1766245,15232,0,0,1520
c45OqB1SVv0,Kalogeras Sisters HEAR ME OUT CAKE!,Kalogeras Sisters HEAR ME OUT CAKE!,2024-11-25T22:00:31Z,UC5sGdW8Jf7ijogDhcIFRmlw,Kalogeras Sisters ,24,[],PT28M42S,hd,false,2330432,87270,0,0,7132
TM_OsuJduwI,Blaster Master - Angry Video Game Nerd (AVGN),Blaster Master - Angry Video Game Nerd (AVGN),2024-11-26T17:19:56Z,UC0M0rxSz3IF0CsSour1iWmw,Cinemassacre,20,"['james rolfe', 'cinemassacre']",PT20M18S,hd,false,669374,47482,0,0,4353
m5fMyIImwEY,Lilo & Stitch | Official Teaser,Lilo & Stitch | Official Teaser,2024-11-25T17:00:07Z,UC_5niPa-d35gg88HaS7RrIw,Disney,24,"['Disney Disney Videos Disney YouTube The Walt Disney Company Disney Top 10', 'Tsum Tsum', 'Animated Shorts']",PT33S,hd,true,1786120,32909,0,0,3
LH1J1EbqCaI,"Sonic the Hedgehog 3 | Official Trailer 2 (2024 Movie) Ben Schwartz, Jim Carrey, Keanu Reeves","Sonic the Hedgehog 3 | Official Trailer 2 (2024 Movie) Ben Schwartz, Jim Carrey, Keanu Reeves",2024-11-25T14:00:03Z,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,1,[],PT2M25S,hd,false,7672481,212190,0,0,0
nki9ZTF9Uls,Hunxho - Ball Forever [Official Video],Hunxho - Ball Forever [Official Video],2024-11-26T18:09:42Z,UCvNFEyv4q6QvZ4Of2GKhzSw,Hunxho,10,"['hunxho', 'official', 'visualizer', 'hunxho official', 'new music hunxho', 'HUNXHO', 'new music hunxho thug baby', 'hunxho album', 'hunxho new album', 'wya hunxho', 'wya hunxho lil dallas', 'hunxho new music', 'Help Myself Hunxho', 'for her album', 'for her', 'honcho', 'huncho', 'Hunxho - Ball Forever [Official Video]', 'hunxho ball forever', 'ball forever hunxho', 'ball forever huncho', 'huncho ball forever', 'ball forever', 'ball', 'forever', 'hunxho new release', 'ball forever hunxho official video']",PT3M21S,hd,false,193501,12843,0,0,428
AvEp3cKmSQQ,Post Malone's Murder Circus Teaser Trailer | #HuntPartner | Hunt: Showdown 1896,Post Malone's Murder Circus Teaser Trailer | #HuntPartner | Hunt: Showdown 1896,2024-11-27T15:00:19Z,UCd-9pZ4Vcmsjw5TsPKWrigw,Hunt: Showdown,20,"['huntshowdown', 'hunt', 'showdown', 'crytek', 'cryengine', 'gaming', 'the hunt', 'postmalone', 'trailer', 'teaser', 'huntshowdownpostmalone', 'Hunt: Showdown Post Malone', 'Video Game', 'Hunt: Showdown 1896', ""Post Malone's Murder Circus"", 'Post Malone Event']",PT28S,hd,true,79407,3449,0,0,974
r74MZyknkD0,Daz Watches Candys Cooking 2,Daz Watches Candys Cooking 2,2024-11-26T18:00:25Z,UCDBCCMlFD-hArPbWv38FINA,Daz Games,24,"['Daz', 'games', 'daz', 'watches', 'daz black', 'HORROR', 'SCARY', 'LAUGH', 'COMEDY', 'DAZ GAMES', 'humor', 'daz watches', 'amazing']",PT33M44S,hd,false,740104,47218,0,0,5625
_ikDX9ICJEM,Why It Sucks to Be Born as a Horse,Why It Sucks to Be Born as a Horse,2024-11-27T00:47:46Z,UC5VOJu0zWFjrXjuCBKcfZsg,Dinzo,15,"['Horse', 'animals', 'Dinzo']",PT9M33S,hd,false,607844,32629,0,0,2381
22ek6PcMSXM,Ilona Maher’s Finale Freestyle – Dancing with the Stars,Ilona Maher’s Finale Freestyle – Dancing with the Stars,2024-11-27T07:00:00Z,UCLOIoa2aEGcM-z1hJx4vy4w,Dancing With The Stars,24,"['Disney+', 'Disney Plus', 'Disney', 'streaming', 'Dancing With The Stars', '#DWTS', 'Alfonso Ribeiro', 'Julianne Hough', 'ABC', 'ABC Network', 'Hulu', 'Derek Hough', 'Carrie Ann Inaba', 'Bruno Tonioli']",PT2M10S,hd,false,273689,3965,0,0,179
